taxa,stat,lower,median,upper,Nes,pA,n,name
withD,b,0.29997931432525005,0.314982720605,0.33017499755549995,100,0.0001,20,dDFE
withD,S_d,-1984.478132415,-1739.96990625,-1492.100296965,100,0.0001,20,dDFE
withD,alpha_dfe,0.12002105,0.1800235,0.24735772499999995,100,0.0001,20,dDFE
withD,alpha_div,0.1202819,0.1803715,0.24832837499999996,100,0.0001,20,dDFE
withD,propSig,1.0,1.0,1.0,100,0.0001,20,dDFE
noD,Sb_est,0.28719066175875,2.511924712945,5.87043694458625,100,0.0001,20,dDFE
noD,pa_est,0.00115832683,0.004229293364999999,0.01997923438125,100,0.0001,20,dDFE
noD,b,0.30053258011375,0.31138169722,0.34288024304,100,0.0001,20,dDFE
noD,S_d,-2005.6772342,-1767.04303945,-1468.479613325,100,0.0001,20,dDFE
noD,alpha_dfe,0.0446585,0.1492405,0.281806125,100,0.0001,20,dDFE
noD,alpha_div,0.12512725,0.16717300000000002,0.30571237500000004,100,0.0001,20,dDFE
noD,propSig,0.8229166666666666,0.8229166666666666,0.8229166666666666,100,0.0001,20,dDFE
withD,Sb_est,20.6919534549275,49.996571037349995,97.8755140260175,500,0.0001,20,dDFE
withD,pa_est,0.0005581310719999999,0.00107885999,0.0027848513737499946,500,0.0001,20,dDFE
withD,b,0.2948465958785,0.30281793314,0.31229192557725,500,0.0001,20,dDFE
withD,S_d,-1974.1588867675,-1748.96192995,-1556.3234681400004,500,0.0001,20,dDFE
withD,alpha_dfe,0.373882275,0.3913165,0.417481825,500,0.0001,20,dDFE
withD,alpha_div,0.37395895,0.39147150000000003,0.418045925,500,0.0001,20,dDFE
withD,propSig,1.0,1.0,1.0,500,0.0001,20,dDFE
noD,Sb_est,0.74291971117525,6.789360459885,48.524359979469864,500,0.0001,20,dDFE
noD,pa_est,0.000211533482,0.000995539735,0.0066607717144999785,500,0.0001,20,dDFE
noD,b,0.29268448906325,0.30154896507499995,0.31330798922200004,500,0.0001,20,dDFE
noD,S_d,-2022.11475492,-1776.3893931500004,-1577.4454296350002,500,0.0001,20,dDFE
noD,alpha_dfe,0.0049099,0.115494,0.26298775,500,0.0001,20,dDFE
noD,alpha_div,0.37219855,0.389159,0.422440875,500,0.0001,20,dDFE
noD,propSig,0.5888888888888889,0.5888888888888889,0.5888888888888889,500,0.0001,20,dDFE
withD,Sb_est,0.0,0.0,0.0,50,0.0001,20,full_DFE
withD,pa_est,0.0,0.0,0.0,50,0.0001,20,full_DFE
withD,b,0.27723837719375,0.280331531375,0.28377838203850003,50,0.0001,20,full_DFE
withD,S_d,-2728.4526074675,-2555.71425385,-2354.17356442,50,0.0001,20,full_DFE
withD,alpha_dfe,0.0,0.0,0.0,50,0.0001,20,full_DFE
withD,alpha_div,0.0104186,0.01374,0.017699674999999998,50,0.0001,20,full_DFE
withD,product,0.0,0.0,0.0,50,0.0001,20,full_DFE
noD,Sb_est,0.0,0.0,0.0,50,0.0001,20,full_DFE
noD,pa_est,0.0,0.0,0.0,50,0.0001,20,full_DFE
noD,b,0.29082829702475,0.295627008665,0.30220605340350004,50,0.0001,20,full_DFE
noD,S_d,-2204.1908513975004,-2033.76722515,-1818.49244985,50,0.0001,20,full_DFE
noD,alpha_dfe,0.0,0.0,0.0,50,0.0001,20,full_DFE
noD,alpha_div,0.0466996,0.061239,0.07886245,50,0.0001,20,full_DFE
noD,product,0.0,0.0,0.0,50,0.0001,20,full_DFE
withD,Sb_est,0.0,0.0,0.0,50,0.001,20,full_DFE
withD,pa_est,0.0,0.0,0.0,50,0.001,20,full_DFE
withD,b,0.17760003687124998,0.18131018879,0.184476404666,50,0.001,20,full_DFE
withD,S_d,-33001.81056085,-27389.602775,-23193.098236175,50,0.001,20,full_DFE
withD,alpha_dfe,0.0,0.0,0.0,50,0.001,20,full_DFE
withD,alpha_div,0.06395165,0.06638250000000001,0.06868889999999998,50,0.001,20,full_DFE
withD,product,0.0,0.0,0.0,50,0.001,20,full_DFE
noD,Sb_est,0.0,0.0,0.0,50,0.001,20,full_DFE
noD,pa_est,0.0,0.0,0.0,50,0.001,20,full_DFE
noD,b,0.2780325217065,0.283684899665,0.28843048151100004,50,0.001,20,full_DFE
noD,S_d,-2484.4211083675,-2250.5262215999996,-2074.2147778425,50,0.001,20,full_DFE
noD,alpha_dfe,0.0,0.0,0.0,50,0.001,20,full_DFE
noD,alpha_div,0.319371025,0.32906799999999997,0.341096075,50,0.001,20,full_DFE
noD,product,0.0,0.0,0.0,50,0.001,20,full_DFE
withD,Sb_est,0.0,0.0,0.0,10,0.01,20,full_DFE
withD,pa_est,0.0,0.0,0.0,10,0.01,20,full_DFE
withD,b,0.14260836590999998,0.14307505200999998,0.1437401753125,10,0.01,20,full_DFE
withD,S_d,-99971.91304375,-99567.730714,-94749.63742575,10,0.01,20,full_DFE
withD,alpha_dfe,0.0,0.0,0.0,10,0.01,20,full_DFE
withD,alpha_div,0.09549975,0.09828200000000001,0.10218375,10,0.01,20,full_DFE
withD,product,0.0,0.0,0.0,10,0.01,20,full_DFE
noD,Sb_est,0.0,0.0,0.0,10,0.01,20,full_DFE
noD,pa_est,0.0,0.0,0.0,10,0.01,20,full_DFE
noD,b,0.23151081132925,0.23714038458,0.24252858415,10,0.01,20,full_DFE
noD,S_d,-5189.8440706025,-4561.83242265,-4003.0544385,10,0.01,20,full_DFE
noD,alpha_dfe,0.0,0.0,0.0,10,0.01,20,full_DFE
noD,alpha_div,0.36400465,0.3747085,0.3829635,10,0.01,20,full_DFE
noD,product,0.0,0.0,0.0,10,0.01,20,full_DFE
withD,Sb_est,18.348875504407502,44.959508124950005,66.13745536346248,100,0.001,20,dDFE
withD,pa_est,0.0014867891135,0.00224900019,0.005691545058999993,100,0.001,20,dDFE
withD,b,0.2841823932545,0.29098982173,0.30932022601375,100,0.001,20,dDFE
withD,S_d,-2348.961374180001,-2099.06221645,-1790.507564375,100,0.001,20,dDFE
withD,alpha_dfe,0.5223874500000001,0.5330095,0.5666280499999999,100,0.001,20,dDFE
withD,alpha_div,0.52239875,0.5330484999999999,0.567121975,100,0.001,20,dDFE
withD,propSig,1.0,1.0,1.0,100,0.001,20,dDFE
noD,Sb_est,0.5735738045059999,3.3885513636799995,11.253352084447984,100,0.001,20,dDFE
noD,pa_est,0.0031899460240000003,0.00693908882,0.024877688829999998,100,0.001,20,dDFE
noD,b,0.289157029978,0.30250667996999997,0.33871876267800005,100,0.001,20,dDFE
noD,S_d,-2261.71032854,-1911.8459706,-1526.62861902,100,0.001,20,dDFE
noD,alpha_dfe,0.155313,0.281878,0.3753196,100,0.001,20,dDFE
noD,alpha_div,0.5356856,0.562365,0.6443608000000001,100,0.001,20,dDFE
noD,propSig,1.0,1.0,1.0,100,0.001,20,dDFE
withD,Sb_est,0.0,0.0,0.0,100,0.001,20,full_DFE
withD,pa_est,0.0,0.0,0.0,100,0.001,20,full_DFE
withD,b,0.139036719671,0.13942789669000002,0.13990621416724994,100,0.001,20,full_DFE
withD,S_d,-99968.29756657498,-99810.930826,-96852.439938,100,0.001,20,full_DFE
withD,alpha_dfe,0.0,0.0,0.0,100,0.001,20,full_DFE
withD,alpha_div,0.123223425,0.12595599999999998,0.128861525,100,0.001,20,full_DFE
withD,product,0.0,0.0,0.0,100,0.001,20,full_DFE
noD,Sb_est,0.0,0.0,0.0,100,0.001,20,full_DFE
noD,pa_est,0.0,0.0,0.0,100,0.001,20,full_DFE
noD,b,0.26773459180725,0.273873813055,0.2800869852995,100,0.001,20,full_DFE
noD,S_d,-2978.0712627625,-2628.47973025,-2326.3634904225,100,0.001,20,full_DFE
noD,alpha_dfe,0.0,0.0,0.0,100,0.001,20,full_DFE
noD,alpha_div,0.491764425,0.5014190000000001,0.511419775,100,0.001,20,full_DFE
noD,product,0.0,0.0,0.0,100,0.001,20,full_DFE
withD,Sb_est,34.8066638950975,88.05116721424999,99.08915738152001,1000,0.0001,20,dDFE
withD,pa_est,0.0010295434785,0.00116775617,0.0030843627669999967,1000,0.0001,20,dDFE
